city,country,airport,sample_roundtrip_flight,flight_hours,avg_temp_f,rain_days,hotel_per_night,daily_food,daily_transit,daily_activities,nature_score,food_score,history_score,nightlife_score,beach_score
Dublin,Ireland,DUB,520,6.5,64,4.0,190,65,18,35,91,78,91,80,35
Lisbon,Portugal,LIS,575,7.0,76,1.0,150,55,12,35,78,92,88,82,72
Porto,Portugal,OPO,610,9.0,73,1.5,135,50,10,30,82,90,86,72,65
Barcelona,Spain,BCN,610,8.0,79,1.0,175,65,15,40,72,96,95,92,88
Madrid,Spain,MAD,590,7.5,84,0.5,165,60,12,38,60,94,96,90,20
Rome,Italy,FCO,650,8.5,81,1.0,185,70,15,45,72,95,100,84,35
Florence,Italy,FLR,720,10.0,80,1.5,195,70,12,45,78,97,100,65,20
Paris,France,CDG,610,7.5,72,2.0,225,85,20,50,58,98,100,88,15
Amsterdam,Netherlands,AMS,585,7.0,68,3.0,220,80,18,45,62,91,94,89,25
Edinburgh,United Kingdom,EDI,640,9.0,61,4.0,190,70,15,40,90,83,96,78,20
London,United Kingdom,LHR,560,7.0,68,3.0,235,85,20,55,55,98,100,95,10
Ljubljana,Slovenia,LJU,680,10.0,73,2.0,130,50,10,30,98,82,85,55,25
Dubrovnik,Croatia,DBV,730,10.5,80,1.0,175,65,12,45,86,88,94,72,96
Vienna,Austria,VIE,650,9.0,74,2.0,180,65,15,40,72,94,100,75,10
Prague,Czechia,PRG,630,9.0,72,2.0,135,50,10,35,68,88,99,82,10
Munich,Germany,MUC,625,8.5,70,3.0,185,70,15,40,87,90,94,78,10
Zurich,Switzerland,ZRH,625,8.0,70,3.0,275,100,30,55,100,80,83,60,10
Montreal,Canada,YUL,390,1.5,73,2.0,170,65,12,35,70,94,88,86,10
Quebec City,Canada,YQB,430,3.0,70,2.5,160,60,12,35,80,90,97,60,10
Vancouver,Canada,YVR,560,6.0,70,1.5,210,80,18,45,100,94,75,85,65
Mexico City,Mexico,MEX,470,5.5,72,3.0,115,45,8,30,72,100,98,90,5
San José,Costa Rica,SJO,490,5.0,78,5.0,125,45,8,40,100,82,65,62,75
Cancun,Mexico,CUN,360,4.0,86,4.0,165,60,10,45,60,85,65,95,100
Aruba,Aruba,AUA,420,4.5,86,1.0,210,85,12,45,55,86,55,78,100
Providenciales,Turks & Caicos,PLS,500,4.0,85,2.0,285,105,15,55,55,88,50,55,100
San Juan,Puerto Rico,SJU,330,4.0,85,4.0,165,60,10,40,72,92,86,90,100
